n_neighbors,craft__composite__speech_timing,craft__composite__text_level,craft__composite__word_level,fugu__composite__speech_timing,fugu__composite__text_level,fugu__composite__word_level,lamina2__composite__speech_timing,lamina2__composite__text_level,lamina2__composite__word_level
5,1,1,1,1,1,0,1,0,0
5,0,0,1,1,1,1,1,0,1
5,0,1,1,1,0,1,0,0,1
5,1,0,0,0,0,0,1,1,1
5,1,1,1,1,1,1,1,1,1
5,1,0,0,1,0,1,0,1,1
5,1,0,1,1,1,1,0,1,0
5,1,1,1,0,0,0,0,1,1
5,1,0,1,1,1,0,1,0,0
5,0,1,0,0,1,1,1,0,1
5,1,0,0,1,1,0,1,1,1
5,1,1,1,1,1,0,0,0,1
5,0,0,0,1,1,0,1,1,1
5,1,1,1,0,0,1,1,1,1
5,1,1,0,0,0,1,1,1,1
5,1,1,0,1,1,1,0,0,1
5,1,1,1,0,1,1,0,0,1
5,0,1,1,0,0,1,1,1,1
5,1,1,0,0,1,0,1,0,1
5,0,1,1,0,0,1,0,1,1
5,1,1,0,0,1,0,1,1,0
1,1,1,1,1,1,0,1,0,0
1,0,0,1,1,1,1,1,0,1
1,0,1,1,1,0,1,0,0,1
1,1,0,0,0,0,0,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,0,1,0,1,1
1,1,0,1,1,1,1,0,1,0
1,1,1,1,0,0,0,0,1,1
1,1,0,1,1,1,0,1,0,0
1,0,1,0,0,1,1,1,0,1
1,1,0,0,1,1,0,1,1,1
1,1,1,1,1,1,0,0,0,1
1,0,0,0,1,1,0,1,1,1
1,1,1,1,0,0,1,1,1,1
1,1,1,0,0,0,1,1,1,1
1,1,1,0,1,1,1,0,0,1
1,1,1,1,0,1,1,0,0,1
1,0,1,1,0,0,1,1,1,1
1,1,1,0,0,1,0,1,0,1
1,0,1,1,0,0,1,0,1,1
1,1,1,0,0,1,0,1,1,0
13,1,1,1,1,1,0,1,0,0
13,0,0,1,1,1,1,1,0,1
13,0,1,1,1,0,1,0,0,1
13,1,0,0,0,0,0,1,1,1
13,1,1,1,1,1,1,1,1,1
13,1,0,0,1,0,1,0,1,1
13,1,0,1,1,1,1,0,1,0
13,1,1,1,0,0,0,0,1,1
13,1,0,1,1,1,0,1,0,0
13,0,1,0,0,1,1,1,0,1
13,1,0,0,1,1,0,1,1,1
13,1,1,1,1,1,0,0,0,1
13,0,0,0,1,1,0,1,1,1
13,1,1,1,0,0,1,1,1,1
13,1,1,0,0,0,1,1,1,1
13,1,1,0,1,1,1,0,0,1
13,1,1,1,0,1,1,0,0,1
13,0,1,1,0,0,1,1,1,1
13,1,1,0,0,1,0,1,0,1
13,0,1,1,0,0,1,0,1,1
13,1,1,0,0,1,0,1,1,0
16,1,1,1,1,1,0,1,0,0
16,0,0,1,1,1,1,1,0,1
16,0,1,1,1,0,1,0,0,1
16,1,0,0,0,0,0,1,1,1
16,1,1,1,1,1,1,1,1,1
16,1,0,0,1,0,1,0,1,1
16,1,0,1,1,1,1,0,1,0
16,1,1,1,0,0,0,0,1,1
16,1,0,1,1,1,0,1,0,0
16,0,1,0,0,1,1,1,0,1
16,1,0,0,1,1,0,1,1,1
16,1,1,1,1,1,0,0,0,1
16,0,0,0,1,1,0,1,1,1
16,1,1,1,0,0,1,1,1,1
16,1,1,0,0,0,1,1,1,1
16,1,1,0,1,1,1,0,0,1
16,1,1,1,0,1,1,0,0,1
16,0,1,1,0,0,1,1,1,1
16,1,1,0,0,1,0,1,0,1
16,0,1,1,0,0,1,0,1,1
16,1,1,0,0,1,0,1,1,0
25,1,1,1,1,1,0,1,0,0
25,0,0,1,1,1,1,1,0,1
25,0,1,1,1,0,1,0,0,1
25,1,0,0,0,0,0,1,1,1
25,1,1,1,1,1,1,1,1,1
25,1,0,0,1,0,1,0,1,1
25,1,0,1,1,1,1,0,1,0
25,1,1,1,0,0,0,0,1,1
25,1,0,1,1,1,0,1,0,0
25,0,1,0,0,1,1,1,0,1
25,1,0,0,1,1,0,1,1,1
25,1,1,1,1,1,0,0,0,1
25,0,0,0,1,1,0,1,1,1
25,1,1,1,0,0,1,1,1,1
25,1,1,0,0,0,1,1,1,1
25,1,1,0,1,1,1,0,0,1
25,1,1,1,0,1,1,0,0,1
25,0,1,1,0,0,1,1,1,1
25,1,1,0,0,1,0,1,0,1
25,0,1,1,0,0,1,0,1,1
25,1,1,0,0,1,0,1,1,0
6,1,1,1,1,1,0,1,0,0
6,0,0,1,1,1,1,1,0,1
6,0,1,1,1,0,1,0,0,1
6,1,0,0,0,0,0,1,1,1
6,1,1,1,1,1,1,1,1,1
6,1,0,0,1,0,1,0,1,1
6,1,0,1,1,1,1,0,1,0
6,1,1,1,0,0,0,0,1,1
6,1,0,1,1,1,0,1,0,0
