feature,importance
craft__verbosity__total_words,0.28449878474126605
craft__word_properties__phon_neigh_mean,0.15226064867237843
craft__talking_intervals__speechrate,0.14731084868205468
craft__verbosity__ratio_verb_over_total,0.1450809726740693
craft__word_properties__concreteness_mean,0.06965464640501061
craft__verbosity__adv_count,0.06749088797767147
craft__universal_dependencies__non-dependency_norm,0.04072001581908636
craft__verbosity__ratio_adv_over_total,0.04055629161089004
craft__universal_dependencies__core_norm,0.024338671121771852
craft__word_properties__granularity_mean,0.012589041595637796
craft__word_properties__log_frq_mean,0.010267042894222256
craft__universal_dependencies__non-core_norm,0.00523214780594121
