feature,importance
craft__talking_intervals__speechrate,0.3151445861190078
craft__verbosity__ratio_noun_over_total,0.14549970384560582
craft__word_properties__num_phonemes_mean,0.14391567885554443
craft__verbosity__ratio_adj_over_total,0.12579665357059283
craft__universal_dependencies__nominal_norm,0.11257762650832057
craft__word_properties__concreteness_mean,0.04868859708446022
craft__universal_dependencies__core_norm,0.039599762293445966
craft__verbosity__ratio_adv_over_total,0.028698583622152548
craft__mlu__mlu,0.01709499939993703
craft__word_properties__num_syll_mean,0.013204231471216864
craft__word_properties__granularity_mean,0.006657377499650987
craft__talking_intervals__syllable_duration_mean,0.00312219973006499
