feature,importance
lamina2__talking_intervals__pause_duration_mean,0.14987633689862168
fugu__universal_dependencies__non-core_norm,0.14909887842892106
craft__talking_intervals__speechrate,0.14490544676429196
lamina2__talking_intervals__speechrate,0.13583349203120215
fugu__talking_intervals__pause_duration_mean,0.11109381425559037
lamina2__word_properties__log_frq_mean,0.06375214536447697
craft__word_properties__num_syll_mean,0.04741434344791989
fugu__verbosity__ratio_noun_over_total,0.0455761877415555
fugu__talking_intervals__npauses,0.03917487512895867
craft__universal_dependencies__non-core_norm,0.03522335627751796
fugu__verbosity__mattr_all,0.03135325459372891
craft__universal_dependencies__nominal_norm,0.019117068685259687
lamina2__word_properties__granularity_mean,0.014698043950283388
fugu__talking_intervals__syllable_duration_mean,0.008430038568199573
fugu__word_properties__granularity_mean,0.004452717863472329
