feature,importance
lamina2__verbosity__word_count,0.213086092498454
lamina2__verbosity__verb_count,0.18145889683551455
lamina2__verbosity__ratio_adv_over_total,0.13858938451202357
fugu__word_properties__concreteness_mean,0.07891115217422884
craft__talking_intervals__syllable_duration_mean,0.07707767641502458
craft__universal_dependencies__core_norm,0.064782965044082
fugu__verbosity__ratio_noun_over_total,0.05155274537634753
craft__talking_intervals__nsyll,0.04996663655981947
craft__mlu__mlu,0.03432456717663952
lamina2__word_properties__log_frq_mean,0.03175039035098928
craft__word_properties__num_syll_mean,0.03008867501142081
craft__verbosity__ratio_noun_over_total,0.014530134508280999
lamina2__talking_intervals__pause_duration_mean,0.013033899415511868
fugu__word_properties__phon_neigh_mean,0.010924167544198409
craft__verbosity__word_count,0.009922616577464675
