feature,importance
dia_tipico__talking_intervals__pause_duration_mean,0.20342539
dia_tipico__word_properties__log_frq_mean,0.14988059
dia_tipico__verbosity__ratio_verb_over_total,0.1449685
dia_tipico__verbosity__ratio_noun_over_total,0.105096124
dia_tipico__universal_dependencies__core_norm,0.09068692
dia_tipico__universal_dependencies__nominal_norm,0.08186062
dia_tipico__talking_intervals__npauses,0.061799925
dia_tipico__word_properties__num_phonemes_mean,0.04747755
dia_tipico__verbosity__ratio_adj_over_total,0.04164486
dia_tipico__word_properties__phon_neigh_mean,0.040113978
dia_tipico__word_properties__concreteness_mean,0.03304559
