feature,importance
fugu__universal_dependencies__non-core_norm,0.23455193958226717
fugu__universal_dependencies__non-dependency_norm,0.22891673345087366
fugu__talking_intervals__speechrate,0.20545210408761294
fugu__talking_intervals__npauses,0.09413087529827567
fugu__verbosity__ratio_adv_over_total,0.09403319996728006
fugu__verbosity__ratio_verb_over_total,0.05235056223482499
fugu__word_properties__num_phonemes_mean,0.04810947611900022
fugu__universal_dependencies__nominal_norm,0.01670390271298477
fugu__word_properties__granularity_mean,0.00955405383633971
fugu__universal_dependencies__core_norm,0.008737808541225835
fugu__talking_intervals__syllable_duration_mean,0.007459344169315065
