feature,importance
fugu__verbosity__adj_count,0.13508713
fugu__universal_dependencies__non-dependency_norm,0.13480258
fugu__word_properties__log_frq_mean,0.08697227
fugu__talking_intervals__pause_duration_mean,0.08436488
fugu__verbosity__adv_count,0.072703585
fugu__verbosity__ratio_verb_over_total,0.07191835
fugu__word_properties__num_phonemes_mean,0.06338236
fugu__verbosity__ratio_noun_over_total,0.06326578
fugu__talking_intervals__syllable_duration_mean,0.057449285
fugu__verbosity__ratio_adv_over_total,0.053890336
fugu__verbosity__noun_count,0.05333895
fugu__word_properties__num_syll_mean,0.052146263
fugu__word_properties__granularity_mean,0.040396046
fugu__talking_intervals__npauses,0.030282218
