feature,importance
fugu__talking_intervals__speechrate,0.19762823
fugu__universal_dependencies__non-dependency_norm,0.12812498
fugu__verbosity__noun_count,0.106694564
fugu__verbosity__ratio_adj_over_total,0.08506915
fugu__universal_dependencies__core_norm,0.06423878
fugu__verbosity__mattr_all,0.061776336
fugu__word_properties__granularity_mean,0.045343842
fugu__verbosity__adv_count,0.044854533
fugu__universal_dependencies__non-core_norm,0.044207353
fugu__mlu__quantity_of_sentences,0.043740403
fugu__word_properties__phon_neigh_mean,0.037340123
fugu__word_properties__log_frq_mean,0.036878183
fugu__mlu__mlu,0.03270641
fugu__verbosity__ratio_verb_over_total,0.023332102
fugu__talking_intervals__pause_duration_mean,0.01967569
fugu__talking_intervals__syllable_duration_mean,0.009831566
fugu__universal_dependencies__nominal_norm,0.006307046
fugu__word_properties__num_phonemes_mean,0.005053772
fugu__talking_intervals__npauses,0.0037380063
fugu__verbosity__total_words,0.0034589074
fugu__word_properties__concreteness_mean,0.0
fugu__word_properties__num_syll_mean,0.0
fugu__verbosity__verb_count,0.0
fugu__verbosity__ratio_noun_over_total,0.0
fugu__verbosity__adj_count,0.0
fugu__talking_intervals__nsyll,0.0
fugu__verbosity__ratio_adv_over_total,0.0
