feature,importance
lamina2__talking_intervals__pause_duration_mean,0.24347429
lamina2__talking_intervals__nsyll,0.1746986
lamina2__mlu__quantity_of_sentences,0.14076361
lamina2__universal_dependencies__nominal_norm,0.09546254
lamina2__word_properties__log_frq_mean,0.07443798
lamina2__word_properties__num_phonemes_mean,0.071399815
lamina2__talking_intervals__syllable_duration_mean,0.055308957
lamina2__verbosity__ratio_adj_over_total,0.0458885
lamina2__verbosity__adj_count,0.041224938
lamina2__verbosity__ratio_noun_over_total,0.026767917
lamina2__verbosity__noun_count,0.016528394
lamina2__verbosity__total_words,0.014044372
