feature,importance
recuerdo_agradable__verbosity__ratio_adv_over_total,0.0858055854326821
recuerdo_agradable__verbosity__ratio_verb_over_total,0.07821481025827856
recuerdo_agradable__mlu__quantity_of_sentences,0.07086089031655717
recuerdo_agradable__word_properties__granularity_mean,0.0689259747739115
recuerdo_agradable__talking_intervals__pause_duration_mean,0.06192796660916156
recuerdo_agradable__word_properties__num_syll_mean,0.06161250058869686
recuerdo_agradable__talking_intervals__speechrate,0.059421486937389814
recuerdo_agradable__universal_dependencies__core_norm,0.0556261441123031
recuerdo_agradable__word_properties__concreteness_mean,0.04661988873940562
recuerdo_agradable__verbosity__noun_count,0.046359427030437994
recuerdo_agradable__talking_intervals__syllable_duration_mean,0.045498305616043344
recuerdo_agradable__verbosity__adj_count,0.032832346604549534
recuerdo_agradable__verbosity__ratio_adj_over_total,0.031440913263669844
recuerdo_agradable__mlu__mlu,0.03138791490973672
recuerdo_agradable__talking_intervals__npauses,0.030492809477681553
recuerdo_agradable__talking_intervals__nsyll,0.030098622145100364
recuerdo_agradable__universal_dependencies__non-core_norm,0.02642477211545935
recuerdo_agradable__word_properties__log_frq_mean,0.02441414561370711
recuerdo_agradable__universal_dependencies__non-dependency_norm,0.018916383362823593
recuerdo_agradable__verbosity__mattr_all,0.01526058469263568
recuerdo_agradable__word_properties__num_phonemes_mean,0.015203470849936293
recuerdo_agradable__verbosity__verb_count,0.013723018972345175
recuerdo_agradable__word_properties__phon_neigh_mean,0.01358865621453354
recuerdo_agradable__universal_dependencies__nominal_norm,0.01169601249443297
recuerdo_agradable__verbosity__adv_count,0.009237747026855939
recuerdo_agradable__verbosity__total_words,0.008589947430043834
recuerdo_agradable__verbosity__ratio_noun_over_total,0.005819674411620664
