feature,importance
lamina2__talking_intervals__pause_duration_mean,0.6043763
lamina2__universal_dependencies__core_norm,0.14369684
lamina2__verbosity__ratio_adv_over_total,0.12646192
lamina2__mlu__sentence_count,0.12546499
lamina2__word_properties__log_frq_mean,0.0
lamina2__word_properties__concreteness_mean,0.0
lamina2__word_properties__granularity_mean,0.0
lamina2__word_properties__phon_neigh_mean,0.0
lamina2__word_properties__num_syll_mean,0.0
lamina2__word_properties__num_phonemes_mean,0.0
lamina2__universal_dependencies__non-core_norm,0.0
lamina2__verbosity__mattr_all,0.0
lamina2__verbosity__noun_count,0.0
lamina2__universal_dependencies__non-dependency_norm,0.0
lamina2__verbosity__word_count,0.0
lamina2__verbosity__adj_count,0.0
lamina2__verbosity__verb_count,0.0
lamina2__verbosity__ratio_noun_over_total,0.0
lamina2__verbosity__adv_count,0.0
lamina2__verbosity__ratio_adj_over_total,0.0
lamina2__talking_intervals__npauses,0.0
lamina2__talking_intervals__speechrate,0.0
lamina2__talking_intervals__syllable_duration_mean,0.0
