feature,importance
recuerdo_agradable__talking_intervals__nsyll,0.16866029462999668
recuerdo_agradable__verbosity__ratio_adv_over_total,0.14658230005958559
recuerdo_agradable__mlu__quantity_of_sentences,0.129747513576335
recuerdo_agradable__verbosity__mattr_all,0.09132638638247373
recuerdo_agradable__word_properties__num_phonemes_mean,0.07280886103568354
recuerdo_agradable__verbosity__adv_count,0.07201962066662802
recuerdo_agradable__universal_dependencies__core_norm,0.06354007452647645
recuerdo_agradable__word_properties__phon_neigh_mean,0.044737309509142155
recuerdo_agradable__word_properties__granularity_mean,0.04129809518973535
recuerdo_agradable__verbosity__ratio_noun_over_total,0.03770187450654919
recuerdo_agradable__verbosity__ratio_adj_over_total,0.03273549633275641
recuerdo_agradable__verbosity__ratio_verb_over_total,0.029655320958181165
recuerdo_agradable__word_properties__concreteness_mean,0.027328961960938217
recuerdo_agradable__mlu__mlu,0.026524134012032765
recuerdo_agradable__universal_dependencies__non-dependency_norm,0.01533375665348582
