random_seed,fold,threshold,roc_auc,n_neighbors,recuerdo_agradable__word_properties__granularity_mean,recuerdo_agradable__word_properties__concreteness_mean,recuerdo_agradable__word_properties__log_frq_mean,recuerdo_agradable__word_properties__num_phonemes_mean,recuerdo_agradable__word_properties__num_syll_mean,recuerdo_agradable__word_properties__phon_neigh_mean,recuerdo_agradable__mlu__sentence_count,recuerdo_agradable__mlu__mlu,recuerdo_agradable__universal_dependencies__core_norm,recuerdo_agradable__universal_dependencies__non-core_norm,recuerdo_agradable__universal_dependencies__nominal_norm,recuerdo_agradable__universal_dependencies__non-dependency_norm,recuerdo_agradable__verbosity__word_count,recuerdo_agradable__verbosity__mattr_all,recuerdo_agradable__verbosity__noun_count,recuerdo_agradable__verbosity__verb_count,recuerdo_agradable__verbosity__adj_count,recuerdo_agradable__verbosity__adv_count,recuerdo_agradable__verbosity__ratio_noun_over_total,recuerdo_agradable__verbosity__ratio_verb_over_total,recuerdo_agradable__verbosity__ratio_adj_over_total,recuerdo_agradable__verbosity__ratio_adv_over_total,recuerdo_agradable__talking_intervals__nsyll,recuerdo_agradable__talking_intervals__npauses,recuerdo_agradable__talking_intervals__speechrate,recuerdo_agradable__talking_intervals__syllable_duration_mean,recuerdo_agradable__talking_intervals__pause_duration_mean
3,0,[None],0.6029411764705882,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,[None],0.7140522875816993,3,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
3,2,[None],0.6111111111111112,13,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3,3,[None],0.6405228758169935,3,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
3,4,[None],0.6234567901234568,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
9,0,[None],0.6650326797385621,17,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,[None],0.6862745098039216,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],0.6094771241830066,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,3,[None],0.6045751633986928,9,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
9,4,[None],0.5848765432098766,20,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
27,0,[None],0.7173202614379084,16,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1
27,1,[None],0.6519607843137255,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,2,[None],0.7401960784313726,6,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
27,3,[None],0.5931372549019607,7,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,4,[None],0.5123456790123457,20,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
