task,dimension,y_label,model_type,model_index,random_seed_test,fusion,r2_score_dev,mean_absolute_error_dev,mean_squared_error_dev,r2_score_holdout,mean_absolute_error_holdout,mean_squared_error_holdout
craft,composite,IFS,svr,6,,single dimension,"0.28792, (0.14014, 0.42923)","3.30000, (2.58486, 4.22195)","18.20228, (11.56166, 31.30227)","-0.06813, (-0.44378, 0.16124)","7.20495, (5.29183, 9.08832)","64.48563, (39.48854, 95.62284)"
craft,composite,MOCA_TOTAL,lasso,11.0,,single dimension,"-0.05416, (-0.07005, -0.02579)","2.85727, (2.22804, 3.63443)","13.84136, (8.38907, 25.91067)","-0.15152, (-0.91698, -0.00116)","5.07576, (3.34073, 6.97020)","39.99105, (22.47752, 73.84541)"
craft,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,IFS,svr,54,,early_fusion,"0.27988, (0.12984, 0.44650)","3.35541, (2.65287, 4.27029)","18.40770, (12.24905, 31.90399)","0.18180, (-0.11993, 0.37012)","6.28192, (4.69864, 8.03535)","49.39652, (29.92527, 75.20328)"
craft,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,MOCA_TOTAL,lasso,393.0,,early_fusion,"-0.05369, (-0.10389, 0.00458)","2.90332, (2.30625, 3.67775)","13.83519, (8.54129, 25.55535)","-0.10969, (-0.89906, 0.07647)","4.98416, (3.32077, 6.96480)","38.53842, (21.22452, 72.29942)"
lamina2,composite,IFS,elastic,46.0,,single dimension,"0.10954, (-0.01941, 0.23004)","3.76041, (2.96968, 4.73765)","22.76211, (14.96290, 36.86508)","0.11773, (-0.14303, 0.36779)","6.21871, (4.28291, 8.20326)","53.26479, (30.16140, 80.62643)"
lamina2,composite,MOCA_TOTAL,svr,102,,single dimension,"0.22056, (-0.01942, 0.40049)","2.41678, (1.89697, 3.09736)","10.23422, (6.48067, 16.66933)","-0.16329, (-0.99134, 0.24116)","5.19269, (3.62709, 7.39894)","40.39976, (21.86878, 83.07194)"
lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,IFS,elastic,9.0,,early_fusion,"0.07968, (-0.06211, 0.23424)","3.91579, (3.14267, 4.84453)","23.52526, (15.44896, 36.91790)","0.10539, (-0.16709, 0.35039)","6.21300, (4.34600, 8.32257)","54.00979, (29.69062, 85.20238)"
lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,MOCA_TOTAL,svr,302,,early_fusion,"0.10020, (-0.05118, 0.24036)","2.54237, (1.98458, 3.32505)","11.81446, (7.33395, 22.34237)","0.00991, (-0.53225, 0.25073)","4.68034, (3.09115, 6.59736)","34.38484, (19.23651, 66.14476)"
fugu,composite,IFS,lasso,118.0,,single dimension,"0.30803, (0.04847, 0.57801)","3.32843, (2.64539, 4.27238)","17.68831, (11.30790, 29.60236)","-0.27871, (-0.76659, 0.19019)","7.78816, (5.65546, 9.91480)","77.19901, (43.82663, 117.41365)"
fugu,composite,MOCA_TOTAL,lasso,0.0,,single dimension,"-0.05416, (-0.07005, -0.02579)","2.85727, (2.22804, 3.63443)","13.84136, (8.38907, 25.91067)","-0.15152, (-0.91698, -0.00116)","5.07576, (3.34073, 6.97020)","39.99105, (22.47752, 73.84541)"
fugu,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,IFS,lasso,184.0,,early_fusion,"0.35687, (0.13021, 0.59505)","3.17153, (2.54515, 4.00259)","16.43985, (11.05577, 25.23549)","0.47707, (0.31472, 0.61528)","4.90385, (3.43210, 6.26468)","31.57081, (18.00095, 47.02879)"
fugu,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,MOCA_TOTAL,lasso,185.0,,early_fusion,"0.14905, (0.03214, 0.29611)","2.53521, (1.97265, 3.21982)","11.17310, (6.72829, 18.85708)","-0.00361, (-0.75401, 0.21407)","4.72914, (3.14424, 6.84274)","34.85417, (20.18447, 69.97162)"
dia_tipico,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,IFS,svr,211,,early_fusion,"0.11600, (0.02217, 0.22179)","3.88742, (3.18621, 4.85214)","22.59701, (15.87798, 36.30797)","0.01157, (-0.16995, 0.20213)","6.96769, (5.28407, 8.74896)","59.67392, (38.28632, 86.91403)"
dia_tipico,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,MOCA_TOTAL,lasso,326.0,,early_fusion,"0.08335, (-0.06941, 0.24533)","2.75897, (2.20716, 3.40356)","12.03581, (7.87289, 19.37849)","0.13799, (-0.21449, 0.38707)","4.47119, (3.17649, 6.35472)","29.93668, (17.22367, 55.65390)"
recuerdo_agradable,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,IFS,svr,305,,early_fusion,"-0.03500, (-0.11349, 0.05559)","4.24314, (3.51292, 5.24332)","26.45669, (17.90774, 44.37830)",,,
recuerdo_agradable,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,MOCA_TOTAL,lasso,8.0,,early_fusion,"-0.08186, (-0.09951, -0.06179)","2.87600, (2.22062, 3.64769)","14.20502, (8.59299, 26.22050)",,,
craft__fugu__lamina2,composite,IFS,svr,304,,single dimension,"0.45067, (0.33379, 0.58560)","2.82154, (2.24469, 3.75121)","14.04202, (8.78814, 26.51078)",,,
craft__fugu__lamina2,composite,MOCA_TOTAL,lasso,387.0,,single dimension,"-0.05416, (-0.07005, -0.02579)","2.85727, (2.22804, 3.63443)","13.84136, (8.38907, 25.91067)",,,
craft__fugu__lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,IFS,svr,315,,early_fusion,"0.26895, (0.16012, 0.41034)","3.28601, (2.55475, 4.21888)","18.68707, (11.65949, 33.39618)",,,
craft__fugu__lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,MOCA_TOTAL,lasso,9.0,,early_fusion,"0.09037, (-0.06333, 0.26756)","2.66936, (2.11369, 3.33649)","11.94354, (7.52060, 19.75793)",,,
dia_tipico__recuerdo_agradable,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,IFS,svr,45,,early_fusion,"0.08338, (-0.05489, 0.23043)","3.85704, (3.11889, 4.93761)","23.43081, (15.60527, 39.36997)",,,
dia_tipico__recuerdo_agradable,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,MOCA_TOTAL,lasso,15.0,,early_fusion,"-0.06985, (-0.11896, -0.00538)","2.87401, (2.23762, 3.65992)","14.04737, (8.49540, 26.09002)",,,
