feature,importance
craft__word_properties__log_frq_mean,1.0
craft__word_properties__num_phonemes_mean,1.0
craft__mlu__sentence_count,1.0
craft__universal_dependencies__nominal_norm,1.0
craft__verbosity__word_count,1.0
craft__verbosity__noun_count,1.0
craft__verbosity__adj_count,1.0
craft__verbosity__ratio_noun_over_total,1.0
craft__verbosity__ratio_adj_over_total,1.0
craft__talking_intervals__nsyll,1.0
craft__talking_intervals__syllable_duration_mean,1.0
craft__talking_intervals__pause_duration_mean,1.0
