feature,importance
lamina2__word_properties__granularity_mean,1.0
lamina2__word_properties__concreteness_mean,1.0
lamina2__word_properties__num_syll_mean,1.0
lamina2__word_properties__phon_neigh_mean,1.0
craft__universal_dependencies__core_norm,1.0
craft__universal_dependencies__non-core_norm,1.0
fugu__universal_dependencies__core_norm,1.0
fugu__universal_dependencies__non-core_norm,1.0
fugu__universal_dependencies__nominal_norm,1.0
craft__verbosity__ratio_adv_over_total,1.0
lamina2__verbosity__noun_count,1.0
lamina2__verbosity__ratio_adv_over_total,1.0
fugu__verbosity__ratio_verb_over_total,1.0
lamina2__talking_intervals__nsyll,1.0
fugu__talking_intervals__nsyll,1.0
fugu__talking_intervals__pause_duration_mean,1.0
