feature,importance
recuerdo_agradable__word_properties__granularity_mean,1.0
recuerdo_agradable__word_properties__num_syll_mean,1.0
recuerdo_agradable__universal_dependencies__core_norm,1.0
recuerdo_agradable__universal_dependencies__non-core_norm,1.0
recuerdo_agradable__universal_dependencies__nominal_norm,1.0
recuerdo_agradable__verbosity__verb_count,1.0
recuerdo_agradable__verbosity__adj_count,1.0
recuerdo_agradable__verbosity__adv_count,1.0
recuerdo_agradable__talking_intervals__nsyll,1.0
recuerdo_agradable__talking_intervals__syllable_duration_mean,1.0
recuerdo_agradable__talking_intervals__pause_duration_mean,1.0
