task,dimension,y_label,model_type,random_seed_test,bootstrap_method_dev,mean_absolute_error,mean_squared_error,r2_score,r2_extremo,r,p_value_corrected,p_value,method,n,95_ci,covars,correction_method
rutina,sentiment__word_properties,ad8,elastic,,bca,"1.35540, (1.12395, 1.62446)","2.58209, (1.81193, 3.70701)","0.18528, (0.06721, 0.47334)",0.06721,0.444,0.087,0.003,pearson,43,nan,[],fdr_bh
rutina,sentiment__speech_timing__word_properties,ad8,lasso,,bca,"1.34384, (1.11493, 1.62808)","2.54078, (1.81267, 3.71142)","0.19831, (0.04866, 0.39904)",0.04866,0.456,0.087,0.002,pearson,43,nan,[],fdr_bh
rutina,word_properties,ad8,lasso,,bca,"1.37255, (1.13048, 1.64294)","2.59395, (1.80282, 3.71244)","0.18153, (0.03896, 0.48899)",0.03896,0.118,0.899,0.508,pearson,34,nan,[],fdr_bh
agradable__rutina,word_properties,ad8,ridge,,bca,"1.48546, (1.26082, 1.77842)","3.00626, (2.16661, 4.46175)","0.05144, (0.01443, 0.12825)",0.01443,0.364,0.293,0.034,pearson,34,nan,[],fdr_bh
agradable__rutina,speech_timing__word_properties,ad8,ridge,,bca,"1.45314, (1.22615, 1.75171)","2.89915, (2.06831, 4.40409)","0.08523, (0.01285, 0.16120)",0.01285,0.022,0.930,0.900,pearson,34,nan,[],fdr_bh
rutina,speech_timing__word_properties,ad8,elastic,,bca,"1.41828, (1.17873, 1.67456)","2.72354, (1.99092, 3.83405)","0.14064, (0.01058, 0.33572)",0.01058,0.112,0.899,0.527,pearson,34,nan,[],fdr_bh
agradable,speech_timing__word_properties,ad8,ridge,,bca,"1.45187, (1.23378, 1.78045)","2.88967, (2.09179, 4.40215)","0.08822, (0.00139, 0.31851)",0.00139,0.030,0.912,0.867,pearson,34,nan,[],fdr_bh
agradable__rutina__video_retelling,word_properties,ad8,ridge,,bca,"1.47543, (1.24235, 1.76244)","2.97170, (2.12040, 4.27066)","0.06234, (0.00132, 0.21525)",0.00132,0.240,0.522,0.172,pearson,34,nan,[],fdr_bh
rutina__video_retelling,word_properties,ad8,elastic,,bca,"1.46581, (1.23766, 1.74831)","2.93544, (2.08996, 4.33275)","0.07378, (-0.00001, 0.29548)",-1e-05,0.058,0.899,0.744,pearson,34,nan,[],fdr_bh
agradable,sentiment__speech_timing__word_properties,ad8,ridge,,bca,"1.44779, (1.22664, 1.77360)","2.88787, (2.08804, 4.42666)","0.08879, (-0.00182, 0.32667)",-0.00182,0.346,0.293,0.023,pearson,43,nan,[],fdr_bh
agradable__rutina__video_retelling,speech_timing__word_properties,ad8,ridge,,bca,"1.48107, (1.25263, 1.78558)","2.99484, (2.18241, 4.49812)","0.05504, (-0.00366, 0.16826)",-0.00366,0.087,0.899,0.625,pearson,34,nan,[],fdr_bh
agradable,speech_timing,ad8,ridge,,bca,"1.47034, (1.25335, 1.79442)","2.94147, (2.14824, 4.48720)","0.07188, (-0.02111, 0.31629)",-0.02111,0.045,0.899,0.801,pearson,34,nan,[],fdr_bh
agradable,sentiment__speech_timing,ad8,ridge,,bca,"1.47087, (1.25670, 1.80156)","2.95111, (2.16539, 4.47402)","0.06884, (-0.02354, 0.31463)",-0.02354,0.292,0.293,0.058,pearson,43,nan,[],fdr_bh
agradable__rutina,pitch__dem,ad8,svr,,bca,"1.43842, (1.18181, 1.77027)","3.04459, (2.18153, 4.58599)","0.03935, (-0.02448, 0.15442)",-0.02448,0.205,0.522,0.188,pearson,43,nan,[],fdr_bh
agradable__rutina,sentiment__dem,ad8,svr,,bca,"1.43842, (1.18181, 1.77027)","3.04459, (2.18153, 4.58599)","0.03935, (-0.02448, 0.15442)",-0.02448,0.205,0.522,0.188,pearson,43,nan,[],fdr_bh
agradable,word_properties,ad8,ridge,,bca,"1.50801, (1.27712, 1.82965)","3.15591, (2.25333, 4.62411)","0.00422, (-0.02577, 0.05350)",-0.02577,-0.079,0.899,0.659,pearson,34,nan,[],fdr_bh
agradable,sentiment__word_properties,ad8,ridge,,bca,"1.51248, (1.28264, 1.83543)","3.16584, (2.27340, 4.65886)","0.00109, (-0.03256, 0.05524)",-0.03256,0.041,0.899,0.795,pearson,43,nan,[],fdr_bh
agradable,speech_timing__verbosity,ad8,elastic,,bca,"1.44792, (1.21969, 1.76214)","2.90524, (2.11750, 4.41771)","0.08331, (-0.03348, 0.35813)",-0.03348,-0.044,0.899,0.804,pearson,34,nan,[],fdr_bh
rutina__video_retelling,speech_timing__word_properties,ad8,ridge,,bca,"1.52123, (1.29038, 1.83173)","3.16278, (2.28693, 4.71113)","0.00205, (-0.03600, 0.08067)",-0.036,0.103,0.899,0.562,pearson,34,nan,[],fdr_bh
agradable__rutina__video_retelling,speech_timing,ad8,ridge,,bca,"1.51428, (1.29066, 1.84729)","3.13401, (2.28894, 4.68691)","0.01113, (-0.03753, 0.09361)",-0.03753,-0.016,0.944,0.929,pearson,34,nan,[],fdr_bh
agradable__rutina,speech_timing,ad8,elastic,,bca,"1.53575, (1.31002, 1.86165)","3.22237, (2.33745, 4.77197)","-0.01675, (-0.03779, 0.01889)",-0.03779,-0.104,0.899,0.560,pearson,34,nan,[],fdr_bh
