feature,importance
agradable__speech_timing__nsyll,1.0
agradable__speech_timing__npauses,1.0
agradable__speech_timing__syllable_duration_kurtosis,1.0
agradable__speech_timing__syllable_duration_skewness,1.0
agradable__speech_timing__syllable_duration_max,1.0
agradable__speech_timing__syllable_duration_min,1.0
agradable__speech_timing__pause_duration_kurtosis,1.0
agradable__speech_timing__pause_duration_skewness,1.0
agradable__speech_timing__pause_duration_max,1.0
agradable__speech_timing__pause_duration_min,1.0
agradable__speech_timing__speechrate,1.0
agradable__speech_timing__mean_syllable_duration,1.0
agradable__speech_timing__syllable_duration_std,1.0
agradable__speech_timing__mean_pause_duration,1.0
agradable__speech_timing__pause_duration_std,1.0
agradable__word_properties__word_properties_min_concr,1.0
agradable__word_properties__word_properties_max_concr,1.0
agradable__word_properties__word_properties_std_concr,1.0
agradable__word_properties__word_properties_median_concr,1.0
agradable__word_properties__word_properties_kurt_concr,1.0
agradable__word_properties__word_properties_skew_concr,1.0
agradable__word_properties__word_properties_mean_concr,1.0
agradable__word_properties__mean_log_frq,1.0
agradable__word_properties__mean_num_phonemes,1.0
agradable__word_properties__mean_num_syll,1.0
agradable__word_properties__mean_phon_neigh,1.0
agradable__verbosity__metrics_token_noun_vs_all,1.0
agradable__verbosity__metrics_token_noun_vs_content,1.0
agradable__verbosity__metrics_token_pron_vs_all,1.0
agradable__verbosity__metrics_token_pron_vs_content,1.0
agradable__verbosity__metrics_token_propn_vs_all,1.0
agradable__verbosity__metrics_token_verbs_vs_all,1.0
agradable__verbosity__metrics_token_verbs_vs_content,1.0
agradable__verbosity__metrics_token_adverbs_vs_all,1.0
agradable__verbosity__metrics_token_adverbs_vs_content,1.0
agradable__verbosity__metrics_token_adjectives_vs_all,1.0
agradable__verbosity__metrics_token_adjectives_vs_content,1.0
agradable__verbosity__metrics_token_proportional_density,1.0
agradable__verbosity__metrics_token_unique_words,1.0
agradable__verbosity__metrics_token_unique_lemma,1.0
agradable__verbosity__metrics_token_lexical_density,1.0
agradable__verbosity__metrics_token_pronoun_vs_all,1.0
agradable__verbosity__metrics_token_words_quantity,1.0
agradable__verbosity__metrics_token_content_words_quantity,1.0
agradable__verbosity__metrics_token_person_quantity,1.0
agradable__verbosity__metrics_token_noun_quantity,1.0
agradable__verbosity__metrics_token_verb_quantity,1.0
agradable__verbosity__metrics_token_adverb_quantity,1.0
agradable__verbosity__metrics_token_adjective_quantity,1.0
agradable__verbosity__metrics_token_pronoun_quantity,1.0
agradable__verbosity__metrics_token_person_1,1.0
agradable__verbosity__metrics_token_person_3,1.0
agradable__verbosity__metrics_token_person_1_ratio,1.0
agradable__verbosity__metrics_token_person_3_ratio,1.0
agradable__verbosity__metrics_lemma_noun_vs_all,1.0
agradable__verbosity__metrics_lemma_noun_vs_content,1.0
agradable__verbosity__metrics_lemma_pron_vs_all,1.0
agradable__verbosity__metrics_lemma_pron_vs_content,1.0
agradable__verbosity__metrics_lemma_propn_vs_all,1.0
agradable__verbosity__metrics_lemma_propn_vs_content,1.0
agradable__verbosity__metrics_lemma_verbs_vs_all,1.0
agradable__verbosity__metrics_lemma_verbs_vs_content,1.0
agradable__verbosity__metrics_lemma_adverbs_vs_all,1.0
agradable__verbosity__metrics_lemma_adverbs_vs_content,1.0
agradable__verbosity__metrics_lemma_adjectives_vs_all,1.0
agradable__verbosity__metrics_lemma_adjectives_vs_content,1.0
agradable__verbosity__metrics_lemma_proportional_density,1.0
agradable__verbosity__metrics_lemma_unique_words,1.0
agradable__verbosity__metrics_lemma_unique_lemma,1.0
agradable__verbosity__metrics_lemma_lexical_density,1.0
agradable__verbosity__metrics_lemma_pronoun_vs_all,1.0
agradable__verbosity__metrics_lemma_words_quantity,1.0
agradable__verbosity__metrics_lemma_content_words_quantity,1.0
agradable__verbosity__metrics_lemma_person_quantity,1.0
agradable__verbosity__metrics_lemma_noun_quantity,1.0
agradable__verbosity__metrics_lemma_verb_quantity,1.0
agradable__verbosity__metrics_lemma_adverb_quantity,1.0
agradable__verbosity__metrics_lemma_adjective_quantity,1.0
agradable__verbosity__metrics_lemma_pronoun_quantity,1.0
agradable__verbosity__metrics_lemma_person_1,1.0
agradable__verbosity__metrics_lemma_person_3,1.0
agradable__verbosity__metrics_lemma_person_1_ratio,1.0
agradable__verbosity__metrics_lemma_person_3_ratio,1.0
agradable__verbosity__core,1.0
agradable__verbosity__non-core,1.0
agradable__verbosity__nominal,1.0
agradable__verbosity__non-dependency,1.0
agradable__verbosity__quantity_of_sentences,1.0
agradable__verbosity__mlu,1.0
agradable__verbosity__MATTR_5,1.0
agradable__verbosity__MATTR_15,1.0
