feature,importance
rutina__word_properties__word_properties_min_concr,1.0
rutina__word_properties__word_properties_max_concr,1.0
rutina__word_properties__word_properties_std_concr,1.0
rutina__word_properties__word_properties_median_concr,1.0
rutina__word_properties__word_properties_kurt_concr,1.0
rutina__word_properties__word_properties_skew_concr,1.0
agradable__word_properties__word_properties_min_concr,1.0
agradable__word_properties__word_properties_max_concr,1.0
agradable__word_properties__word_properties_median_concr,1.0
agradable__word_properties__word_properties_kurt_concr,1.0
agradable__word_properties__word_properties_skew_concr,1.0
agradable__word_properties__word_properties_mean_concr,1.0
video_retelling__word_properties__word_properties_min_concr,1.0
video_retelling__word_properties__word_properties_max_concr,1.0
video_retelling__word_properties__word_properties_std_concr,1.0
video_retelling__word_properties__word_properties_median_concr,1.0
video_retelling__word_properties__word_properties_kurt_concr,1.0
video_retelling__word_properties__word_properties_skew_concr,1.0
video_retelling__word_properties__word_properties_mean_concr,1.0
rutina__word_properties__mean_log_frq,1.0
rutina__word_properties__mean_num_phonemes,1.0
rutina__word_properties__mean_num_syll,1.0
rutina__word_properties__mean_phon_neigh,1.0
agradable__word_properties__mean_log_frq,1.0
agradable__word_properties__mean_num_phonemes,1.0
agradable__word_properties__mean_num_syll,1.0
agradable__word_properties__mean_phon_neigh,1.0
video_retelling__word_properties__mean_log_frq,1.0
video_retelling__word_properties__mean_num_phonemes,1.0
video_retelling__word_properties__mean_num_syll,1.0
video_retelling__word_properties__mean_phon_neigh,1.0
