feature,importance
video_retelling__speech_timing__nsyll,1.0
video_retelling__speech_timing__npauses,1.0
video_retelling__speech_timing__syllable_duration_kurtosis,1.0
video_retelling__speech_timing__syllable_duration_skewness,1.0
video_retelling__speech_timing__syllable_duration_max,1.0
video_retelling__speech_timing__syllable_duration_min,1.0
video_retelling__speech_timing__pause_duration_kurtosis,1.0
video_retelling__speech_timing__pause_duration_skewness,1.0
video_retelling__speech_timing__pause_duration_max,1.0
video_retelling__speech_timing__pause_duration_min,1.0
video_retelling__speech_timing__speechrate,1.0
video_retelling__speech_timing__mean_syllable_duration,1.0
video_retelling__speech_timing__syllable_duration_std,1.0
video_retelling__speech_timing__mean_pause_duration,1.0
video_retelling__speech_timing__pause_duration_std,1.0
rutina__speech_timing__nsyll,1.0
rutina__speech_timing__npauses,1.0
rutina__speech_timing__syllable_duration_kurtosis,1.0
rutina__speech_timing__syllable_duration_skewness,1.0
rutina__speech_timing__syllable_duration_max,1.0
rutina__speech_timing__syllable_duration_min,1.0
rutina__speech_timing__pause_duration_kurtosis,1.0
rutina__speech_timing__pause_duration_skewness,1.0
rutina__speech_timing__pause_duration_max,1.0
rutina__speech_timing__pause_duration_min,1.0
rutina__speech_timing__speechrate,1.0
rutina__speech_timing__mean_syllable_duration,1.0
rutina__speech_timing__syllable_duration_std,1.0
rutina__speech_timing__mean_pause_duration,1.0
rutina__speech_timing__pause_duration_std,1.0
rutina__word_properties__word_properties_min_concr,1.0
rutina__word_properties__word_properties_max_concr,1.0
rutina__word_properties__word_properties_std_concr,1.0
rutina__word_properties__word_properties_median_concr,1.0
rutina__word_properties__word_properties_kurt_concr,1.0
rutina__word_properties__word_properties_skew_concr,1.0
video_retelling__word_properties__word_properties_min_concr,1.0
video_retelling__word_properties__word_properties_max_concr,1.0
video_retelling__word_properties__word_properties_std_concr,1.0
video_retelling__word_properties__word_properties_median_concr,1.0
video_retelling__word_properties__word_properties_kurt_concr,1.0
video_retelling__word_properties__word_properties_skew_concr,1.0
video_retelling__word_properties__word_properties_mean_concr,1.0
rutina__word_properties__mean_log_frq,1.0
rutina__word_properties__mean_num_phonemes,1.0
rutina__word_properties__mean_num_syll,1.0
rutina__word_properties__mean_phon_neigh,1.0
video_retelling__word_properties__mean_log_frq,1.0
video_retelling__word_properties__mean_num_phonemes,1.0
video_retelling__word_properties__mean_num_syll,1.0
video_retelling__word_properties__mean_phon_neigh,1.0
